comments,label
모두가 거짓기사임..같이 찍은 사진도 없고 지디가 아니라고 분명히 못을 박았음..집근처 사진은 나도 하겠다.. 이제 안되니까 치밀하게 계획해서 몰아가기 알바쓰고 제대로 한건 크게 관종짓을 했네..ㅉㅉ..알바들이나 믿지..대중은 안 믿어...스쳐간 인연이니 이제는 스토커 그만해 ...제발~~~지디 이주연 고소해라..허위 날조 기사,hate
지디가 아이유도 건드리지 않았을까? 아이유가 안넘어왔을듯,none
이주연 이보크 타이어만도 못한녀들이 급이 어떻고 사람보는눈이 없네 마네하는걸 보니 기가 차다 기가차 ㅋㅋㅋ 콩깍지좀 벗고 주제파악 좀 하자,hate
뭘 실망이야 OOO아 지드래곤 안사귀는 줄 알았잖아 빠순이들아ㅋㅋㅋㅋ,hate
여자들이 주연이 너무 깐다.ㅋㅋㅋ~ 아무리 지디빠라지만 같은 여자끼리 감싸줘라 ㅎㅎ,offensive
둘이 좋아서 사귄다는데 급 매기는 사람들 웰케 많냐.. 그렇다고 저 정도 외모에 돈 이상으로 가진 것도 아니면서,offensive
새해부터 이주연 깎아 내리느라 수고한다. 이주연 발톱 때보다 못생긴 오크 쿵쾅녀들아 ㅋㅋㅋ,hate
이주연님 성격 진짜 좋아보이던데 ! 예쁜연애 하시길 바래요 ❤️,none
이준 정소미기사는 사실/ 지디 이주연 기사는 거짓...사진도 글도 너무 비교되고..이주연이 관종짓을 이번엔 크게 하고 있음...모두 믿지 마세요..거짓말임..이젠 발목잡기 틀렸으니까 복수하는 것임..이게 팩트임..아주 가지가지 하고있음..구하라 설리도 연합했나? 글에 이름이..저번에 같이 사진도 찍고 친구인가 본데..,hate
문재인정부가 뭘 덮으려고 이주연에 정소민까지 빵빵 터트리네요 하지만 깨시민들은 이런 저질스러운 연예인 돌려막기에 현혹되지 않습니다!!! 무한rt!!!!,hate
새해 첫날부터 문재인정부는 뭘 덮으려고 이런 기사를 터뜨린거죠?,hate
산불재앙 또 감추려고 열애설 터뜨렸네;; 하여간에 이 정부는... 어휴.. 답이 없다 답이 없어;;;,hate
이주연님 되게 이쁘시다 오빠 오래가요 잘어울려 주연님 울오빠 잘부탁해요,none
이주연 이쁜데왜~~~ 결혼까지해라 태양처럼,none
지디 실망이네.. 개념 스시녀만 사귀는줄 알았는데 김치녀 사귀노..,hate
어울령.주연씨도 길고 세련된 느낌이라 ~~hate세는 큰 지디면 대박일듯,none
우리지용이는 그누구랑 사귀어도 이지랄들일꺼야ㅠㅠ,offensive
지드래곤 이쁜여자 잡았으니까 땡잡았다고 본다.,none
지디마약사건으로 사람들이 욕하는데 마약이 솔직히 왜 나쁜거냐고 물으면 다들 아무도 대답못함. 내 미국인친구도 코카인흡입이 나쁘다고 하길래 그게 왜 나쁘냐고 물으니까 그냥 나쁘지.. 사람의 정신을 몽롱하게 만들고... 이렇게 말함.. 결국 명쾌한 답변을 아무도 못해. 지디야 힘내렴! 여기가 북한이냐? 대마초하건말건 뭔상관이냐,offensive
정부가 뭘 또 숨길려고 새해부터 열애설 터트릴까요?,offensive
헐 디패 대박ㄷㄷㄷ,none
진짜 연인관계가 맞다면 예쁜사랑하세요~응원하겠습니다:),none
지디 부럽다 ...모든 hatenone대 여자 다 만날 능력돼서 ㅋㅋㅋ,none
성공하려면 아랫도리 마구 굴려야지 ㅋㅋ,hate
그지근성인 여자 안 만나서 다행,offensive
관심없고 지디의 블랙카드가 아까울뿐이다ㅋ,offensive
우리 뷔오빠가 더 낳다,offensive
어리고 이쁘고 가슴큰 여자들 널렸고... 지디 정도면 아무나 골라서 사귈 수 있을텐데... 왜 연상에... 심지어 자기보다 키도 큰 여자를 만나는 건지...,offensive
모두가 거짓기사임..같이 찍은 사진도 없고 지디가 아니라고 분명히 못을 박았음..집근처 사진은 나도 하겠다..구하라 설리도 연합했니? 사진보니 친구인거 같던데? 여기서 왜나와? 이제 안되니까 치밀하게 계획해서 몰아가기 알바쓰고 제대로 한건 크게 관종짓을 했네..ㅉㅉ..알바들이나 믿지..대중은 안 믿어...스쳐간 인연이니 이제는 스토커 그만해 ...제발~~~,offensive
새해부터 개 offensivenone같은 소리하지마라. 기자쉐이야.....개소리 왈왈하다간 주둥이 짖쪄버린다.,hate
문재앙 대체 뭐 덮으려고!,hate
이니가 또 뭘 숨기려고 새해부터 쏟아내나 이게 나라냐...,hate
디스패치 고소당했으면 좋겠다. 시작하는 연인들 깽판치고 저작권있는 사람들 사진 동의없이 개재하고 광고 수익가져가고. 갑질까지 하고 개 쓰렉이들,hate
와 지디씨 주연씨 선남선녀커플이네요 무술년 hatenoneoffensive8새해 offensive호 연예인 커플 이쁜 사랑하시구 오래오래가세요 !!,none
너무 부럽네여 지용오빠 돈두 엄청 많을텐데ㅠ 에휴... 남친도 그렇지만 남자들은 이상해.... 지들차에 쓰는 3nonenone은 아무렇지도 않게쓰면서 왜 백사주는 offensive5none은 아까워하나요?? 남자들에게 차가 자존심이듯이 여자들에게는 백이 자존심이라고요~~,offensive
사실 gd가 남자로서 매력적이진 않지 루저 잖아 키offensive7none인 주연일 사귀는걸 영광으로 알아라,offensive
지디는. 아이유랑 잘어울리던데 내가 다 아쉽네,none
지디는 키가 작아도너네와 달리 얼굴 작고 비율 좋아서개쩌는데너네는 얼굴은 ㅈ같고 대가리는 돌같이 커서 무시당하지ㄷᆢ,hate
이준 정소민 처럼 같이 찍은 사진을 내보내야 믿지..집근처 가서 찍은 사진은 나도 그렇게 하겠다....구하라 설리 열애설이 나오는거 보니 이주연 동참 마지막으로 복수하나보네 셋이서..얼마전 셋이 같이 찍은 사진 있더만...여러분 모두 거짓이니 믿지마셈.. 예전 잠깐 스쳐간 인연들인데 발목잡으려 거짓기사 쓰고 있는것임...가지가지 한다 이주연..ㅉㅉㅉ대중이 다 모를것 같지?,offensive
시집 장가갈 나이 됐구나~ 둘이 좋으면 결혼해라^^,none
대마쟁이 빠순이들 부들부들 이주연이 나쁜년이야 빼액!,hate
종현이도 너네들의 악플 때문에 고생 했는데또 하고있네너네는 왜 발전이 없니?아니면 가정교육을 못 받은거니?,hate
괜찮음 열심히 사랑해요이번년도도 좋은 노래 기대할게요,none
키코 아닌게 다행인데 차라리 이주연이 낫다,offensive
저거 다 구라임. 저번 처럼 사진 짜집기 해서 관종짓 하는거니 믿지마시길 다들..,offensive
노콘이 최고다 정말 사랑해서 콘돔을 쓴다는건 구라다 옥황상제랑 하이파이브한 기분이다,hate
여기서 빅뱅 까는 것들은 메이비 방탄빠들인가,offensive
결혼해~ 짝 결혼해~ 짝,none
와.... 정부에서 뭘 덮을려고 이러는지...,hate
"친딸 고준희를 때려죽이고나서 낄낄대며 프라모델 인스타 올리고 가족여행 다니고 이웃에 딸 생일 먹여주고 남은 거라며 미역국 돌리고 경찰서에 가서 ""나는 딸이 없으면 못산다 내 딸 찾아달라"" 울부짖은 친부 고병식은 전라디언, 오유와 루리웹 회원, 5.offensive8폭동을 민주화운동이라고 날조미화홍보, 민주노총 금속노조원, 좋아하는 음식은 홍어와 일본술, 정치성향은 문재인 김대중 노무현 지지하고 박근혜 이명박 증오. 그러고보니 hateAM 이준도 부모가 전라도이고 박근혜 탄핵구속하고 문재인 집권시키자며 촛불시위했었지. 이준과 고병식이 유사점이 많네.",hate
솔직히 수지보다 이쁘다 ㅇㅈ?,hate
이주연 서민티 졸라나 ㅋㅋ 지디는 갤러리아포레 사는데 구리구리하게 구리시 사냐 ㅋㅋ,hate
모두가 거짓기사임..같이 찍은 사진도 없고 지디가 아니라고 분명히 못을 박았음..집근처 사진은 나도 하겠다..구하라 설리도 연합했니? 사진보니 친구인거 같던데? 여기서 왜나와? 이제 안되니까 치밀하게 계획해서 몰아가기 알바쓰고 제대로 한건 크게 관종짓을 했네..ㅉㅉ..알바들이나 믿지..대중은 안 믿어..,hate
작고 지디 궁합 맞나보넹이주연이 좁,hate
기레기 기자야..거짓 조작시사 내면 콩밥 먹는거 알지? 이주연 이관종 기레기..아휴 어떻게 이런 여우한테 걸려서..스토커처럼 무서울것 같다..거짓 기사니 믿지마세요,hate
GD 모욕에 성희롱하시는분들 캡쳐해서 소속사로 바로 보내는 중임 발견 즉시 계속보내는중임 ㅎ offensivenone명중 offensive명은 경찰소환되실듯,offensive
세상에서 제일 예쁜 이주연!,none
지디가 아니라 지디 매니져랑 사귄데,none
"정치, 과학, 사회 관련 기사의 댓글과 관심도 남자95% 여자 5%, 연예관련 기사의 댓글과 관심도 여자 7none~9none% ㅋㅋㅋㅋㅋㅋㅋ 실화냐? 이러니까 여자들 평균임금과 요직 비율이 낮지 ㅋㅋㅋ 근데 차별핑계 오지게 대더라 ㅋㅋ",offensive
약물검사 두배가 드나가 핵심?,offensive
딱봐도 엔조이구만 ㅋ 남자색휘들은 잘 알듯~고대로 딱 그만큼 행동하네 ㅎㅎ,offensive
지디와 이주연은 조심 또 조심할 수 밖에 없었다 는걸 알면서도ㅋㅋㅋㅋㅋ이렇게 스토킹 하죠?ㅋㅋㅋㅋㅋㅋ악질 디패ㅋㅋㅋ악질 스토킹 해놓고 마지막은 그가 더이상 외롭질 않길 바란댘ㅋㅋㅋㅋㅋ존웃ㅋㅋㅋㅋㅋㅋ그러면 연예인들 뒷꽁무늬 좀 고만 따라다녀. 아이돌들이 왜 숨어서 연애해야되니.. 니들 파파라치 때문이잖아. 쟤네 숨좀 쉬게 해줘라. 없던 정신병도 당연히 생기겟다.,hate
빅뱅 군대가는게 더 슬프다,none
완전멕이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 팬들알고있었던척 덤덤한척 지리고요 ㅋㅋㅋㅋㅋㅋ지디는 왜 매니저 귀찮게 만드냐 ㅉㅉ한심한놈,offensive
이준 정소미기사는 사실 지디 이주연 기사는 거짓...사진도 글도 너무 비교되고..이주연이 관종짓을 이번엔 크게 하고 있음...모두 믿지 마세요..거짓말임..이젠 발목잡기 틀렸으니까 복수하는 것임..이게 팩트,hate
축하해요~~,none
또라이년들 니년들이 아니야 아닐거야 하면 뭐가 달라짐 ? 병신 같은년들 권지용이란 사람은 연애도 하면 안됨 ? 지금 쟤나이가 3none인데 그냥 팬이면 팬답게 응원 못해줄 망정 개또라이년들 하여간 니년들 죄다 정신병원에 처 들어가야함,hate
와 팬들도 멋있고 지디도 멋있는듯 서로 행복하길 바라고있어..,none
이제좀사겨도되는나이다.지디도.잘만나서결혼하길.태양처럼.,none
연애좀 하면 어때서 그들도 사람인데 우리나라 연애인은 참 불쌍햐~사생활 침해를 너무 받는듯~,none
스쳐간 인연 여자들이 연합해서 복수하나보다..돈 모아서 알바들 겁나 풀었나 보네..무섭다 여우상 여자들..같이 찍은 사진 하나도 없이 집근처 가서 찍은사진으로 열애설이나 내고...아는사람들은 거짓인거 다 안다,offensive
지디 퇴물이라서 재미없다,hate
뭐냐?? 이거였어?? 급이 너무 낮은데?? 뭐 어쩌라고?? 유명 배우나 유명 아이돌인줄 알았더니 한물 정도가 아니라 두물 세물 정도는 간 애네 -_- 여자는 진짜 이름도 첨 들어봄,offensive
엑소는 안된다..ㅠ,none
새해입니다 저양반들이 사귀던 말던 그건 저양반들 사정이고 여러분들 작년수고들 많이 하셨고 올한해도 모두 평범히 살면서 hatenoneoffensive9년을 맞이합시다 우리모두의 소원은 그저 평범히살다가 호상하는것입니다,offensive
그네시절은 연예인 열애설 나면 그네가 무언갈 덮으려고 한다면서 ㅋ ㅈㄹ 했자나? 이니는 뭘 숨기려고 터뜨릴까..??,hate
주연이가 너무 아까워... 정말 예쁜데... 만날때 힐도 못신고 단화만 신어야될거 아니야... 남자가 offensive7none은 안되더라도 최소한 offensive65는 넘어야지 ㅉㅉ...,offensive
문재앙 정권 이번엔 또 뭘 숨기려고?,hate
지드래곤은.. 현 대한민국 연예인 탑3 라 생각한다.,none
"이새끼들 누군진 모르지만 일부러 offensive월 offensive일에 터뜨리네 ㅋㅋ 그리고 남성은 출신 대학과 경제력으로,여자는 나이와 얼굴,가슴으로 평가하는 것이다.",offensive
이준이 누구야;; 배우라는디 누구지..전소민덕분에 이름 알린다 ..,offensive
이거 욕이아닌데..이준씨 열애설 한번 나서 우결 종료되지 않았나요?,none
여자의 가슴 사이즈는 남편의 경제력과 상관관계가 있다는 연구 결과가 있어요,none
이준은..오연서껀데ㅠㅠ,none
이준 전소민이 낳냐 쥐디 이주현이 낳냐,offensive
정부에서 뭔가를 숨기려고 터뜨린거랑께요!@ 빼앧!!!!!!,hate
광수버리고 이준한테 가는건가 런닝맨에서 케미 오진대,offensive
정소민 별로덴 이름 바꿔라 재수없는년 닮아서 기분나쁘다,hate
정소민 초대박 스타가 될수있었는데 인생 꼬엿네,offensive
에이그 정소민 이제야 겨우 런닝맨으로 주목 받고있는데 열애설터졌네,none
존못커플,hate
촛불들던 정신나간 놈,hate
지디에 비해 너무 급떨어지네,offensive
난 왜 안어울리는것 같지,offensive
이준 군대 안가냐? 소민이 넘 아깝다,offensive
정소민 가슴도 크고 예쁘더라,none
여자 비주얼이 좀...,offensive
소민이가 너무 아깝다. 잘가라 소민. 너의 입술로..,offensive
오연서랑 우결해쓰면서 오연서는??,offensive
이니 폐악질을 덮기엔 이정도론 약하지라,hate
역시 설현 미만 잡이네...,offensive
윤현민에 이준까지...대다나다. 암튼 행쇼. 오로라공주부터 런닝맨까지 잘되서 다행이우,offensive
너무 부럽네여 이준 오빠 돈두 엄청 많을텐데ㅠ 에휴... 남친도 그렇지만 남자들은 이상해.... 지들차에 쓰는 3nonenone은 아무렇지도 않게쓰면서 왜 백사주는 offensive5none은 아까워하나요?? 남자들에게 차가 자존심이듯이 여자들에게는 백이 자존심이라고요~~,hate
저날 반했나봐 전소민 한쪽 가슴 보이겠다 되게 야하게 입었네,offensive
이준 노양심이네 이러려고 엠블랙 나갛나,offensive
지디커플한테 밀렸어,offensive
척척 찍 응애~,hate
야가~~~ 얼굴이 커서 배수지랑 닮은듯 ㅋㅋㅋㅋ,hate
어쩌라는거지?? 나랑뭔상관?,none
했냐?,offensive
이준 비호감,hate
이준 못생겼노 정소민불쌍,hate
누군진모르지만ㅇㅋ,none
이준이 아깝지..,offensive
연예계는 동물에왕국맞네 한낮조연 나부랭이가 연기는안하고 연기한답시고 여자나 꼬셔서 지 군대가는 욕구풀이로 한번씩 할려고 여자곰신 만들었네,hate
전소민인줄 알고 놀랬잖아 꼴뚜기같이 생긴게 열애설이냐다스는 누구꺼냐,hate
근데 이준이 좀 덜떨어진애 아닌가 김종민과,offensive
정소민이 아깝다,offensive
설현미만잡.....,offensive
이준 돈쓰는거 쪼잔하다고소문낫는데,offensive
이준 취향 독특하네&?#,offensive
이준 짠돌이가 명품 사준 줄 알았더니 정소민이 사준거였어?,offensive
정소민 솔직히 연예인 할만큼 이쁘지않음,hate
"친딸 고준희를 때려죽이고나서 낄낄대며 프라모델 인스타 올리고 가족여행 다니고 이웃에 딸 생일 먹여주고 남은 거라며 미역국 돌리고 경찰서에 가서 ""나는 딸이 없으면 못산다 내 딸 찾아달라"" 울부짖은 친부 고병식은 전라디언, 오유와 루리웹 회원, 5.offensive8폭동을 민주화운동이라고 날조미화홍보, 민주노총 금속노조원, 좋아하는 음식은 홍어와 일본술, 정치성향은 문재인 김대중 노무현 지지하고 박근혜 이명박 증오. 그러고보니 hateAM 이준도 부모가 전라도이고 박근혜 탄핵구속하고 문재인 집권시키자며 촛불시위했었지. 이준과 고병식이 유사점이 많네.",hate
헐ㅋㅋ뭔가 안어울림...,offensive
이러다 헤어지면 정소민만 불쌍해 지는거 아님?,offensive
떡중이라 헤라,hate
이준 결별하면 총에 맞아 죽을 듯. 그렇게 참고 참더니 하필 얘라니. 얘는 결별하면 총으로 쏘는 애인데.,hate
여자존못인데,hate
부럽네요. 나도 불과 한달전까진 허니문베이비를 꿈꿨는데 이제 다 부질없네요. 당연히 순결할거라 믿었고 그래서 첫날밤까지 기다려준건데 배신감만 듭니다. 첫날밤 와이프가 피를 안흘렸어요. 처가집식구들이 일부러 절 속였단 생각에 화도나고 어제 처가집가기로 했는데 안간다고 했더니 혼자 울고 갔다와서 지금까지 한마디도 안해요. 이혼하고 싶네요,hate
와 문재인정부가 뭘 덮으려고 이주연에 정소민까지 빵빵 터트리네요하지만 깨시민들은 이런 저질스러운 연예인 돌려막기에 현혹되지 않습니다!!! 무한rt!!!!,hate
너무. 안 어울려요 ...,hate
이아줌마는 뉴규??????????????,offensive
뭐 비리 덮을거 터졌나 새해부터 뭔 기사를 이리 터트리지???,offensive
정소민이 아깝...,offensive
머리큰 사기꾼 언플쩌네,offensive
이준도 동물의 왕국으로 들어가네 ....,offensive
예쁘진않네 아이린미만잡,offensive
누가 먼저냐??? 이준이냐 지드래곤이냐???기레기들 자기께 먼저라고 난리네~~ㅋ 관심도 없다,offensive
신년인데 뭘또 가릴라고 열애설을 터트리는거야국정원 정신나갓냐 일 이따구로 밖에 못해??? 이제 일좀 제대로 해야지 아직도 박그네 수족이 남자있는거야???,hate
얘네나 지디나 솔직히 예상 할 수 있던 거라 놀랍진 않다,offensive
"이병헌, 송혜교가 참 어울리는 커플이었지. 공개연애? 미친짓이야. 영원할거 같아?",offensive
offensivenonenone일도 안지났네? 깨진다에 손모가지 건다.,offensive
전소민이 와꾸 몸매좋지 정소민은 좀 아니지않나 그래도 군신분이니 hate년동안 찰지게 하겠네 축하한다,offensive
연예인 기사에 댓글 잘 안 달지만 그래도 너무한거 아닌가? 남친 연락은 죽어라 안받고 잠수이별 하더니 그게 이준 때문이었나? 남의 눈에 눈물나게 하면 내 눈에는 피눈물 나요 소민씨. 어차피 이 댓글도 묻히겄지-.-,hate
힝~ 이번생은 첨이라. . 에서 이민기 랑도 참 잘어울렸었는뎅. . ^^,none
준이 잘해?,offensive
뭘덮으려고,hate
응 금방 헤어짐,offensive
찢어지세요 안어울려요,hate
비급은 비급끼리 만나는 저런 커풀이 그래도 결혼확율 높다,offensive
별로 누구랑사귀는지 궁금하지도 안은새끼들,offensive
동물의왕국,offensive
김현중의 그녀가 야냐 아니냐,none
남자 비호감...,offensive
정소민이 누구요,offensive
아이돌은 동물의 왕국,offensive
그나저나 이 커플이 offensive호냐? 아니면 쥐드래곤이 offensive호냐??,none
핵 떨어져라,hate
이번년도안에 결별기사나올꺼같은데,offensive
정소민이 아깝다~,offensive
별로 인기없는 애들이라 화나요가 없네 지디는 화나요 투성이더만,offensive
펜션에 갔던 그 여자가? 수건 많이 썼다고 전해 들었다,offensive
엠블랙은 버린거니 이준아...,none
정부가 뭘 또 숨길려고 새해부터 열애설을 터트릴까요?,hate
"근데 이준 군대 가있지 않음? 송혜교, 보아, 박한별, 최지우 죄다 안 기다리고 끝내더만. 박한별은 두번이네",offensive
나도 연예인이나 하는건데 법대가야된다는 압박에 지금은 파지줍고있지 꽃보다거지 ㅇㅈ?,offensive
동물의 왕국에서 또 한쌍의 암수가..,offensive
이민기랑 더 잘어울리던데..,offensive
뜬금없네 ㅡㅡ,offensive
설자리가 없으면 열애설이라도,offensive
헉...그럼 소민이가,offensive
이준도 자기가 말한대로 동물의 왕국처럼 헤어지면 꿀잼이겠네 ㅋㅋㅋㅋㅋ,hate
좀사귀다가 바빠서결별 성격차,offensive
정소민 ㅜㅜ 아깝다...,offensive
아 뭐야 ㅋㅋㅋ 결국 이민기같은 연륜보단 이준같은 비글을 택한 건가 ㅋㅋㅋ 전에 티비에서 분명 그렇게 말했었는데,offensive
군대에서는 치마만 걸치면 여자 @@,offensive
어차피 군제대후에 헤어질거 뻔한 스토리 아니니 그냥 욕구충족 면회 비서 넌제발 머리좀 비서,hate
한창 뜨겁게 하루에도 몇번씩 온몸을 불태우고 불태울 때로군.... 물들어 올때 노 저어라고 열심히 노를 저으소,hate
부럽네요. 나도 불과 한달전까진 허니문베이비를 꿈꿨는데 이제 다 부질없네요. 당연히 순결할거라 믿었고 그래서 첫날밤까지 기다려준건데 배신감만 듭니다. 첫날밤 와이프가 피를 안흘렸어요. 처가집식구들이 일부러 절 속였단 생각에 화도나고 어제 처가집가기로 했는데 안간다고 했더니 혼자 울고 갔다와서 지금까지 한마디도 안해요. 이혼하고 싶네요,hate
어뜩하냐 팬들이 이렇게나 관심이 없어가지고 이준은 그렇다 쳐도 정소민은 망햇네 이게 연예인들의 열애설 터지면 피해보는게 여배우 쪽이니 쯧쯧 정소민은 아깝다 뜰줄 알았는데 이번 열애설로 망해서 수지 열애설 터진날 제이와이피 주식 반토막 난거 알지? 그런거야 정소민은 진짜 아깝다 ㅋㅋㅋ 님도 잘가요 아침드라마에서 봐요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,hate
근대 쟤네 누구임?배우임?,offensive
뭐야 이준 별론데 정소민 아까워 하지만 연애하는 모습 너무 사랑스럽긴하네 나도 하고싶다,offensive
이준..! 오연서껀데ㅜㅜ,offensive
정소민이 누구에요??,offensive
송중기.송혜교급은 돼야지 얘넨 뭐꼬 ? ㅋㅋㅋㅋㅋ,offensive
정소민 내보내지마라 짜증난다 누구닮아서 별로다,hate
윤은혜 닮은꼴 정소민 아니야???,offensive
아니왜 서민차 bmw 몰고다니냐 쪽팔리게;,hate
이민기랑 어울리는데.. ㅠㅠ,none
hatenoneoffensive8년9월offensivehate일 offensive년간교제후 결별 서로좋은 동료로 남기로~~가즈아~~~,offensive
둘 다 모르겠다. 런닝맨 나오는 소민인가 했더니 아니군.,offensive
침대위에선 뜨끈뜨끈~~,hate
나이 틀렸다 이준이 더 어려 ㅡㅡ,offensive
군인.. 운전하면 안되지 않나?,offensive
군인은 운전금진데 저거 영창감인데 국방부에 신고하세요 디페,offensive
진짜 궁금해서 그러는데 이준씨가 군복무 중인데 그럼 휴가나와도 군복을 입고 다녀야 하는거 아닌가요? 사진에는 사복 같은데... 신병 휴가라서 그런건가요?,offensive
세상좋아졌다 청담동이 니들이 있을곳이아닌데ㅋㅋㅋ,offensive
새해첫 스캔들이 hate개나 터졌는데 생각보다 파급력이 낮네...,none
근데 이준이 누구냐?,offensive
넘약하다 탑스타도아니고 다른거풀자,offensive
동물의 왕국이구나,offensive
이준보다 이민기랑 더 잘 어울렸는데 ㅠ 그래도 이쁜 연애 하세요~,none
남자보다 여자들이 좋아하는 정소민.. 결론은 예쁜여자는 아니라는 사실,offensive
런닝맨 걔?,none
휴가기간동안 성 엄청 즐기겠군,offensive
정소민 나쁜남자에서 김남길 죽임 ㅠㅡㅠ,none
이준이 여친사귄건 정말 축하할일. . 근데 왜 하필 정소민인지. . 정소민스캔들 많이난 탤런트중 한명인데 홍기하고 헤어진지도 얼마안된것같구. . 이커플 오래못갈듯. .,offensive
런닝맨 망했네. 이광수 전소민으로 버텼는데,offensive
앞으로 성관계 하는거 확정샷 아니면 연인관계라고 언플하지마라,hate
깨끗한 이준 .. 그나마 호감이었는데..너마저 ㅠ ㅠ,offensive
연애인드른 다 이러냐 이준기도 ㄱㄱ개바람둥,offensive
문재앙좀보소 ㄷㄷㄷㄷ 모든재앙을 다덮네,hate
이렇게 종현오빠는 잊혀지겠지..,none
이준씨 별로 인지도없으니까 얼굴까고다니셔도 되요 ㅋ 누가보면 지가 톱스타인줄,offensive
설현미만잡.......,offensive
했네 했어~~~~~,none
실망이네ㅋㅋ니가 연예계는 동물의 왕국이라고 연예인이랑은 절대 연애안할거라며?니도 똑같은 딴따라인데 기대한 내가 바보지ㅋㅋ,offensive
저런애도 뱀다블 타고 다니네;;,offensive
이게 컨셉사진이지 파파라치컷이냐 미띤 에라이 패치야,hate
이거로 정치인들과 기업인들 스캔들 덮고 있것지 ㅡㅡ;;,offensive
너무 부럽네여 이준 오빠 돈두 엄청 많을텐데ㅠ 에휴... 남친도 그렇지만 남자들은 이상해.... 지들차에 쓰는 3nonenone은 아무렇지도 않게쓰면서 왜 백사주는 offensive5none은 아까워하나요?? 남자들에게 차가 자존심이듯이 여자들에게는 백이 자존심이라고요~~,hate
조망간 헤어진다고 말이나오겠지,offensive
군바리가 운전이라니...,offensive
길어야 6개월 뻔하지 뭐 연예인들,offensive
둘다 듣보라...;;; 디스패치는 지디만 팻어도 충분할텐데 굳이 저런 듣보들을 왜 패는지...,offensive
이민기랑 이루어지길 바랬는데,none
군대가면 끝날듯,offensive
누구..지?,none
별관심도없다 몬데 계속 도배기사내냐,offensive
강도도 아니고...,none
듣보들이 왜 얼굴을 가려,offensive
정소민...처음이라서 마지막회...싸이코패스...그 여운이 가시질 않네 ~이미지 좋았는데 ...,none
연애질을하던 임신을하던 관심읍다 이런게 머 기사꺼리라고!,offensive
제대하면 끝,none
정소민 그간 즐거웠다 잘가라... 어흑,offensive
장나라 손호준도 한건 부탁해요....좋은 소식 있었으면 좋겠다.. 그 둘은 격하게 응원할거임..,none
했겠지?,offensive
